instructorID,courseID,W_rate
I22,1115,5.66%
I26,1115,16.67%
I19,3115,3.57%
I15,3115,9.94%
I06,3115,7.25%
I14,1115,8.72%
I28,3115,20.00%
I11,3115,16.13%
I22,3115,22.86%
I07,3130,4.68%
I07,3115,5.71%
I24,3115,8.57%
I10,3115,2.16%
I27,3115,5.07%
I23,3115,9.90%
I25,1115,13.33%
I14,3115,1.22%
I18,3130,12.74%
I19,3130,5.15%
I01,1115,21.13%
I18,1115,15.74%
I21,3115,21.39%
I17,3130,7.46%
I28,1115,28.84%
I27,3130,15.00%
I03,3130,2.50%
I16,1115,21.47%
I12,1115,20.95%
I23,1115,11.67%
I04,1115,13.64%
I08,1115,20.96%
I21,1115,21.11%
I20,1115,14.58%
I02,1115,14.00%
